query_type,epochs,num_sources,num_aggregators,keys_per_source,sources_per_epoch,total_unique_keys,samples_per_key,total_events,prove_time_ms,verify_time_ms,proof_size_bytes,journal_size_bytes,dp_offset,memory_mb,seed,dp_enabled,risc0_dev_mode
samples/sum,16,128,16,8,8,1024,128,131072,582.8s,38ms,222.5 KB,2.3 KB,0,9500.94,0xBEEF,0,0
raw/max_key,16,128,16,8,8,1024,128,131072,21382.9s,38ms,219.1 KB,568 B,0,9500.94,0xBEEF,0,0
samples/sum,16,128,16,8,8,1024,128,131072,586.7s,38ms,222.5 KB,2.3 KB,1690330,9386.09,0xBEEF,1,0
samples/sum,1,128,16,8,8,1024,128,8192,47.1s,38ms,218.8 KB,408 B,0,9402.45,0xBEEF,0,0
raw/max_key,1,128,16,8,8,1024,128,8192,1353.3s,37ms,219.1 KB,568 B,0,9402.45,0xBEEF,0,0
samples/sum,2,128,16,8,8,1024,128,16384,80.2s,38ms,219.0 KB,536 B,0,9417.47,0xBEEF,0,0
raw/max_key,2,128,16,8,8,1024,128,16384,2650.5s,38ms,219.1 KB,568 B,0,9417.47,0xBEEF,0,0
samples/sum,1,128,16,8,8,1024,128,8192,47.4s,38ms,218.8 KB,408 B,969239,9391.09,0xBEEF,1,0
raw/max_key,1,128,16,8,8,1024,128,8192,1361.1s,38ms,219.1 KB,568 B,86403,9391.09,0xBEEF,1,0
samples/sum,2,128,16,8,8,1024,128,16384,80.5s,39ms,219.0 KB,536 B,859947,9416.80,0xBEEF,1,0
raw/max_key,2,128,16,8,8,1024,128,16384,2656.2s,38ms,219.1 KB,568 B,1290304,9416.80,0xBEEF,1,0
samples/sum,1,128,16,8,8,1024,128,8192,47.0s,39ms,218.8 KB,408 B,0,9355.96,0xBEEF,0,0
samples/sum_key,1,128,16,8,8,1024,128,8192,47.0s,37ms,218.8 KB,408 B,0,9355.96,0xBEEF,0,0
samples/sum_topk,1,128,16,8,8,1024,128,8192,47.2s,37ms,218.9 KB,484 B,0,9355.96,0xBEEF,0,0
samples/sum,2,128,16,8,8,1024,128,16384,80.0s,38ms,219.0 KB,536 B,0,9376.67,0xBEEF,0,0
samples/sum_key,2,128,16,8,8,1024,128,16384,79.9s,38ms,219.0 KB,536 B,0,9376.67,0xBEEF,0,0
samples/sum_topk,2,128,16,8,8,1024,128,16384,80.1s,37ms,219.2 KB,612 B,0,9376.67,0xBEEF,0,0
samples/sum,4,128,16,8,8,1024,128,32768,152.7s,38ms,219.5 KB,792 B,0,9378.50,0xBEEF,0,0
samples/sum_key,4,128,16,8,8,1024,128,32768,152.9s,39ms,219.5 KB,792 B,0,9378.50,0xBEEF,0,0
samples/sum_topk,4,128,16,8,8,1024,128,32768,152.7s,38ms,219.7 KB,868 B,0,9378.50,0xBEEF,0,0
samples/sum,8,128,16,8,8,1024,128,65536,291.0s,39ms,220.5 KB,1.3 KB,0,9379.03,0xBEEF,0,0
samples/sum_key,8,128,16,8,8,1024,128,65536,291.2s,37ms,220.5 KB,1.3 KB,0,9379.03,0xBEEF,0,0
samples/sum_topk,8,128,16,8,8,1024,128,65536,311.4s,38ms,220.7 KB,1.3 KB,0,9379.03,0xBEEF,0,0
samples/sum,16,128,16,8,8,1024,128,131072,574.8s,38ms,222.5 KB,2.3 KB,0,9392.11,0xBEEF,0,0
samples/sum_key,16,128,16,8,8,1024,128,131072,574.8s,38ms,222.5 KB,2.3 KB,0,9392.11,0xBEEF,0,0
samples/sum_topk,16,128,16,8,8,1024,128,131072,628.1s,39ms,222.7 KB,2.3 KB,0,9392.11,0xBEEF,0,0
samples/sum,32,128,16,8,8,1024,128,262144,1116.5s,39ms,226.5 KB,4.3 KB,0,9395.68,0xBEEF,0,0
samples/sum_key,32,128,16,8,8,1024,128,262144,1136.8s,38ms,226.5 KB,4.3 KB,0,9395.68,0xBEEF,0,0
samples/sum_topk,32,128,16,8,8,1024,128,262144,1208.9s,38ms,226.7 KB,4.3 KB,0,9395.68,0xBEEF,0,0
samples/sum,1,128,16,8,8,1024,128,8192,47.6s,39ms,218.8 KB,408 B,446188,9356.12,0xBEEF,1,0
samples/sum_key,1,128,16,8,8,1024,128,8192,47.6s,39ms,218.8 KB,408 B,2648759,9356.12,0xBEEF,1,0
samples/sum_topk,1,128,16,8,8,1024,128,8192,47.8s,38ms,218.9 KB,484 B,1,9356.12,0xBEEF,1,0
samples/sum,2,128,16,8,8,1024,128,16384,80.5s,39ms,219.0 KB,536 B,1635724,9379.08,0xBEEF,1,0
samples/sum_key,2,128,16,8,8,1024,128,16384,81.0s,37ms,219.0 KB,536 B,170750,9379.08,0xBEEF,1,0
samples/sum_topk,2,128,16,8,8,1024,128,16384,80.9s,39ms,219.2 KB,612 B,1,9379.08,0xBEEF,1,0
samples/sum,4,128,16,8,8,1024,128,32768,154.1s,38ms,219.5 KB,792 B,126020,9386.55,0xBEEF,1,0
samples/sum_key,4,128,16,8,8,1024,128,32768,154.2s,38ms,219.5 KB,792 B,4750932,9386.55,0xBEEF,1,0
samples/sum_topk,4,128,16,8,8,1024,128,32768,154.1s,39ms,219.7 KB,868 B,5,9386.55,0xBEEF,1,0
samples/sum,8,128,16,8,8,1024,128,65536,294.3s,37ms,220.5 KB,1.3 KB,789027,9388.36,0xBEEF,1,0
samples/sum_key,8,128,16,8,8,1024,128,65536,294.3s,39ms,220.5 KB,1.3 KB,2588413,9388.36,0xBEEF,1,0
samples/sum_topk,8,128,16,8,8,1024,128,65536,313.8s,38ms,220.7 KB,1.3 KB,1,9388.36,0xBEEF,1,0
samples/sum,16,128,16,8,8,1024,128,131072,582.1s,37ms,222.5 KB,2.3 KB,4510,9391.17,0xBEEF,1,0
samples/sum_key,16,128,16,8,8,1024,128,131072,580.9s,37ms,222.5 KB,2.3 KB,940157,9391.17,0xBEEF,1,0
samples/sum_topk,16,128,16,8,8,1024,128,131072,635.2s,38ms,222.7 KB,2.3 KB,1,9391.17,0xBEEF,1,0
samples/sum,32,128,16,8,8,1024,128,262144,1131.1s,39ms,226.5 KB,4.3 KB,805065,9391.51,0xBEEF,1,0
samples/sum_key,32,128,16,8,8,1024,128,262144,1149.2s,36ms,226.5 KB,4.3 KB,2433529,9391.51,0xBEEF,1,0
samples/sum_topk,32,128,16,8,8,1024,128,262144,1220.7s,38ms,226.7 KB,4.3 KB,1,9391.51,0xBEEF,1,0
samples/sum,64,128,16,8,8,1024,128,524288,2211.0s,38ms,234.5 KB,8.3 KB,0,9411.75,0xBEEF,0,0
samples/sum_key,64,128,16,8,8,1024,128,524288,2266.1s,37ms,234.5 KB,8.3 KB,0,9411.75,0xBEEF,0,0
samples/sum_topk,64,128,16,8,8,1024,128,524288,2421.6s,39ms,234.7 KB,8.3 KB,0,9411.75,0xBEEF,0,0
samples/sum,128,128,16,8,8,1024,128,1048576,4425.8s,38ms,250.5 KB,16.3 KB,0,9440.89,0xBEEF,0,0
samples/sum_key,128,128,16,8,8,1024,128,1048576,4488.9s,39ms,250.5 KB,16.3 KB,0,9440.89,0xBEEF,0,0
samples/sum_topk,128,128,16,8,8,1024,128,1048576,4880.4s,38ms,250.7 KB,16.3 KB,0,9440.89,0xBEEF,0,0
samples/sum,256,128,16,8,8,1024,128,2097152,8865.1s,38ms,282.5 KB,32.3 KB,0,9491.91,0xBEEF,0,0
samples/sum_key,256,128,16,8,8,1024,128,2097152,8956.3s,39ms,282.5 KB,32.3 KB,0,9491.91,0xBEEF,0,0
samples/sum_topk,256,128,16,8,8,1024,128,2097152,9891.0s,38ms,282.7 KB,32.3 KB,0,9491.91,0xBEEF,0,0
samples/sum,64,128,16,8,8,1024,128,524288,2234.0s,39ms,234.5 KB,8.3 KB,696355,9414.01,0xBEEF,1,0
samples/sum_key,64,128,16,8,8,1024,128,524288,2287.7s,37ms,234.5 KB,8.3 KB,1876007,9414.01,0xBEEF,1,0
samples/sum_topk,64,128,16,8,8,1024,128,524288,2448.3s,38ms,234.7 KB,8.3 KB,0,9414.01,0xBEEF,1,0
samples/sum,128,128,16,8,8,1024,128,1048576,4474.3s,39ms,250.5 KB,16.3 KB,1679043,9452.07,0xBEEF,1,0
samples/sum_key,128,128,16,8,8,1024,128,1048576,4542.7s,38ms,250.5 KB,16.3 KB,2249633,9452.07,0xBEEF,1,0
samples/sum_topk,128,128,16,8,8,1024,128,1048576,4932.9s,39ms,250.7 KB,16.3 KB,0,9452.07,0xBEEF,1,0
samples/sum,256,128,16,8,8,1024,128,2097152,8949.1s,38ms,282.5 KB,32.3 KB,1829064,9480.42,0xBEEF,1,0
samples/sum_key,256,128,16,8,8,1024,128,2097152,9058.4s,38ms,282.5 KB,32.3 KB,1754652,9480.42,0xBEEF,1,0
samples/sum_topk,256,128,16,8,8,1024,128,2097152,9986.3s,39ms,282.7 KB,32.3 KB,1,9480.42,0xBEEF,1,0
samples/sum,4,128,16,8,8,1024,128,32768,153.4s,37ms,219.5 KB,792 B,0,9442.22,0xBEEF,0,0
raw/max_key,4,128,16,8,8,1024,128,32768,5266.3s,39ms,219.1 KB,568 B,0,9442.22,0xBEEF,0,0
samples/sum,8,128,16,8,8,1024,128,65536,293.6s,39ms,220.5 KB,1.3 KB,0,9449.95,0xBEEF,0,0
raw/max_key,8,128,16,8,8,1024,128,65536,10585.1s,38ms,219.1 KB,568 B,0,9449.95,0xBEEF,0,0
samples/sum,16,128,16,8,8,1024,128,131072,581.2s,37ms,222.5 KB,2.3 KB,0,9490.56,0xBEEF,0,0
raw/max_key,16,128,16,8,8,1024,128,131072,21229.0s,38ms,219.1 KB,568 B,0,9490.56,0xBEEF,0,0
samples/sum,32,128,16,8,8,1024,128,262144,1123.3s,39ms,226.5 KB,4.3 KB,0,9608.62,0xBEEF,0,0
raw/max_key,32,128,16,8,8,1024,128,262144,42552.9s,35ms,219.1 KB,568 B,0,9608.62,0xBEEF,0,0
samples/sum,4,128,16,8,8,1024,128,32768,153.8s,37ms,219.5 KB,792 B,1796224,9442.53,0xBEEF,1,0
raw/max_key,4,128,16,8,8,1024,128,32768,5275.1s,38ms,219.1 KB,568 B,663843,9442.53,0xBEEF,1,0
samples/sum,8,128,16,8,8,1024,128,65536,293.6s,37ms,220.5 KB,1.3 KB,1113357,9478.72,0xBEEF,1,0
raw/max_key,8,128,16,8,8,1024,128,65536,10600.8s,38ms,219.1 KB,568 B,1270558,9478.72,0xBEEF,1,0
samples/sum,16,128,16,8,8,1024,128,131072,580.0s,37ms,222.5 KB,2.3 KB,659418,9492.25,0xBEEF,1,0
raw/max_key,16,128,16,8,8,1024,128,131072,21252.7s,37ms,219.1 KB,568 B,478450,9492.25,0xBEEF,1,0
samples/sum,32,128,16,8,8,1024,128,262144,1125.6s,37ms,226.5 KB,4.3 KB,329518,9614.60,0xBEEF,1,0
raw/max_key,32,128,16,8,8,1024,128,262144,42585.2s,38ms,219.1 KB,568 B,962553,9614.60,0xBEEF,1,0
